text,actual_label
Please send me the address when you get a chance.,0
You have been chosen to receive a free coupon.,1
I'll meet you at tomorrow morning near the the main gate.,0
Can you share the assignment with me?,0
Please call me when you are free.,0
Free entry! You could win a valuable reward today.,1
I'll be a little late today.,0
Claim your exclusive vacation before midnight!,1
Act now to receive your special bonus!,1
Congratulations! You are today's lucky winner.,1
Can you help me with the assignment?,0
I reached the main gate safely.,0
Please call me when you are free.,0
Can you share the report with me?,0
Congratulations! You are today's lucky winner.,1
What time are we leaving?,0
Free entry! You could win a valuable coupon today.,1
URGENT! You have been selected for a cash shopping voucher. Click now!,1
Special promotion! Get 70% off today.,1
Your exclusive bonus is ready. Claim it now!,1
Claim your exclusive cash prize before midnight!,1
Don't forget to bring the timetable tomorrow.,0
Don't forget to bring the timetable tomorrow.,0
You are eligible for an exclusive cash reward!,1
Please remind me about the address.,0
Don't forget to bring the notes tomorrow.,0
Can you bring my report when you come?,0
Limited offer! Get your free bonus now!,1
Win a brand new bonus by entering our contest!,1
Please send me the document when you get a chance.,0
Please call me when you are free.,0
I'll send you the notes tonight.,0
Congratulations! You are today's lucky winner.,1
I'll meet you at 5 pm near the the library.,0
URGENT! You have been selected for a cash coupon. Click now!,1
Claim your exclusive coupon before midnight!,1
Are we still meeting at 5 pm?,0
I'll send you the photos tonight.,0
Can you share the book with me?,0
I am waiting near the the station.,0
What time are we leaving?,0
Can you share the assignment with me?,0
Please call me when you are free.,0
Win a brand new bonus by entering our contest!,1
I'll be a little late today.,0
I'll be home by 7 pm.,0
Please let me know when you arrive.,0
Earn extra money from home. Register now!,1
Special offer! Receive a free coupon today!,1
Act now to receive your special coupon!,1
Get 50% discount today. Limited time offer!,1
Are we still meeting at 5 pm?,0
I'll send you the book tonight.,0
Win a brand new shopping voucher by entering our contest!,1
Can you share the report with me?,0
What time are we leaving?,0
Are we still meeting at tomorrow morning?,0
Claim your gift before this offer ends!,1
Act now to receive your special coupon!,1
Don't forget to bring the report tomorrow.,0
Congratulations! You have won a free coupon. Claim it now!,1
Get 90% discount today. Limited time offer!,1
Please call me when you are free.,0
I reached the station safely.,0
You are eligible for an exclusive cash vacation!,1
Please call me when you are free.,0
Please let me know when you arrive.,0
What time are we leaving?,0
Earn extra money from home. Register now!,1
Congratulations! You are today's lucky winner.,1
Congratulations! You are today's lucky winner.,1
I'll be a little late today.,0
Please remind me about the book.,0
Can you call me when you reach the main gate?,0
Congratulations! You have won a free cash prize. Claim it now!,1
Special offer! Receive a free reward today!,1
Let's meet after lunch.,0
Can you share the document with me?,0
Let's meet after meeting.,0
Earn extra money from home. Register now!,1
Special promotion! Get 70% off today.,1
You are eligible for an exclusive cash coupon!,1
I'll be a little late today.,0
I'll send you the photos tonight.,0
I'll be a little late today.,0
Act now to receive your special coupon!,1
Can you bring my report when you come?,0
Claim your exclusive cash prize before midnight!,1
Congratulations! You have won a free shopping voucher. Claim it now!,1
Your exclusive bonus is ready. Claim it now!,1
Earn extra money from home. Register now!,1
Can you bring my timetable when you come?,0
Congratulations! You have won a free cash prize. Claim it now!,1
Hurry! Your free cash prize is waiting for you.,1
I'll meet you at 5 pm near the the main gate.,0
What time are we leaving?,0
Earn extra money from home. Register now!,1
Special offer! Receive a free gift today!,1
I'll send you the document tonight.,0
Hurry! Your free shopping voucher is waiting for you.,1
Special promotion! Get 50% off today.,1
The dinner is scheduled for noon.,0
I'll be a little late today.,0
I'll see you tomorrow at 7 pm.,0
Can you call me when you reach the office?,0
I'll send you the timetable tonight.,0
You have won a special vacation. Claim your reward!,1
Please let me know when you arrive.,0
Can you help me with the assignment?,0
You are the lucky winner of a free phone!,1
Please remind me about the notes.,0
Special promotion! Get 90% off today.,1
Act now to receive your special phone!,1
I'll send you the address tonight.,0
Free entry! You could win a valuable shopping voucher today.,1
Can you share the address with me?,0
Hurry! Your free vacation is waiting for you.,1
Your exclusive bonus is ready. Claim it now!,1
Don't forget to bring the photos tomorrow.,0
I'll be home by 3 pm.,0
Congratulations! You have won a free vacation. Claim it now!,1
Win a brand new reward by entering our contest!,1
Hurry! Your free reward is waiting for you.,1
I'll be home by noon.,0
Please send me the book when you get a chance.,0
Claim your gift before this offer ends!,1
I'll meet you at tomorrow morning near the the office.,0
Limited offer! Get your free vacation now!,1
Get a huge cash reward by registering now!,1
I reached the main gate safely.,0
Can you help me with the timetable?,0
Please remind me about the book.,0
Are we still meeting at 7 pm?,0
Get 95% discount today. Limited time offer!,1
Are we still meeting at noon?,0
Limited offer! Get your free gift now!,1
Can you call me when you reach school?,0
Please call me when you are free.,0
I reached home safely.,0
Limited offer! Get your free reward now!,1
Can you share the address with me?,0
Special promotion! Get 90% off today.,1
You have won a special shopping voucher. Claim your reward!,1
Limited offer! Get your free bonus now!,1
I'll see you tomorrow at noon.,0
I'll be home by noon.,0
Please let me know when you arrive.,0
Limited offer! Get your free coupon now!,1
Can you bring my document when you come?,0
What time are we leaving?,0
Please call me when you are free.,0
Claim your shopping voucher before this offer ends!,1
I am waiting near the the office.,0
Please let me know when you arrive.,0
Can you call me when you reach the library?,0
Can you help me with the report?,0
You are eligible for an exclusive cash coupon!,1
You have been chosen to receive a free phone.,1
Special promotion! Get 95% off today.,1
Claim your reward before this offer ends!,1
Get 80% discount today. Limited time offer!,1
Claim your exclusive gift before midnight!,1
I am waiting near the school.,0
Are we still meeting at noon?,0
Let's meet after lunch.,0
Earn extra money from home. Register now!,1
Can you share the assignment with me?,0
I'll be a little late today.,0
Your exclusive bonus is ready. Claim it now!,1
Get 80% discount today. Limited time offer!,1
Please call me when you are free.,0
The the presentation is scheduled for tomorrow morning.,0
Please send me the address when you get a chance.,0
Can you bring my assignment when you come?,0
Free entry! You could win a valuable vacation today.,1
You are eligible for an exclusive cash shopping voucher!,1
Earn extra money from home. Register now!,1
Are we still meeting at noon?,0
Free entry! You could win a valuable reward today.,1
URGENT! You have been selected for a cash vacation. Click now!,1
You have won a special phone. Claim your reward!,1
Limited offer! Get your free cash prize now!,1
You have been chosen to receive a free cash prize.,1
I'll be a little late today.,0
The lunch is scheduled for 8 pm.,0
Claim your vacation before this offer ends!,1
Don't forget to bring the address tomorrow.,0
Hurry! Your free shopping voucher is waiting for you.,1
I'll be home by 3 pm.,0
Claim your exclusive phone before midnight!,1
Don't forget to bring the address tomorrow.,0
Are we still meeting at noon?,0
Free entry! You could win a valuable phone today.,1
Can you call me when you reach the library?,0
Win a brand new gift by entering our contest!,1
Limited offer! Get your free reward now!,1
Can you share the photos with me?,0
URGENT! You have been selected for a cash reward. Click now!,1
I'll meet you at 8 pm near the the office.,0
I'll send you the timetable tonight.,0
You are the lucky winner of a free phone!,1
Can you help me with the report?,0
Can you call me when you reach home?,0
Claim your exclusive coupon before midnight!,1
Can you help me with the timetable?,0
I'll send you the timetable tonight.,0
Don't forget to bring the book tomorrow.,0
Congratulations! You are today's lucky winner.,1
Special promotion! Get 95% off today.,1
Congratulations! You have won a free phone. Claim it now!,1
I'll meet you at noon near the school.,0
Congratulations! You are today's lucky winner.,1
Are we still meeting at noon?,0
Can you bring my photos when you come?,0
Special promotion! Get 95% off today.,1
Please send me the book when you get a chance.,0
Earn extra money from home. Register now!,1
I'll be home by tomorrow morning.,0
Let's meet after dinner.,0
Let's meet after lunch.,0
Can you bring my photos when you come?,0
You have won a special shopping voucher. Claim your reward!,1
I am waiting near the school.,0
Win a brand new vacation by entering our contest!,1
Claim your reward before this offer ends!,1
Free entry! You could win a valuable gift today.,1
Can you call me when you reach the main gate?,0
Get 80% discount today. Limited time offer!,1
Please send me the timetable when you get a chance.,0
Get 70% discount today. Limited time offer!,1
Can you bring my timetable when you come?,0
I am waiting near the the station.,0
Get a huge cash reward by registering now!,1
Act now to receive your special phone!,1
I'll meet you at 8 pm near the school.,0
Claim your exclusive gift before midnight!,1
Free entry! You could win a valuable reward today.,1
Congratulations! You have won a free vacation. Claim it now!,1
Limited offer! Get your free bonus now!,1
Please remind me about the book.,0
Please send me the book when you get a chance.,0
Can you share the timetable with me?,0
I'll be home by noon.,0
I'll meet you at 8 pm near the the library.,0
You are eligible for an exclusive cash cash prize!,1
Limited offer! Get your free reward now!,1
Claim your shopping voucher before this offer ends!,1
Win a brand new coupon by entering our contest!,1
I am waiting near the the office.,0
Please send me the document when you get a chance.,0
Congratulations! You have won a free bonus. Claim it now!,1
Are we still meeting at 5 pm?,0
Congratulations! You are today's lucky winner.,1
Limited offer! Get your free shopping voucher now!,1
I'll see you tomorrow at tomorrow morning.,0
You have been chosen to receive a free reward.,1
Can you share the timetable with me?,0
Please let me know when you arrive.,0
Can you bring my timetable when you come?,0
I reached the office safely.,0
URGENT! You have been selected for a cash gift. Click now!,1
Congratulations! You have won a free coupon. Claim it now!,1
You are the lucky winner of a free gift!,1
I am waiting near the the station.,0
Get a huge cash reward by registering now!,1
Congratulations! You have won a free bonus. Claim it now!,1
You are the lucky winner of a free reward!,1
Special offer! Receive a free reward today!,1
Hurry! Your free coupon is waiting for you.,1
Your exclusive bonus is ready. Claim it now!,1
Congratulations! You are today's lucky winner.,1
Get 50% discount today. Limited time offer!,1
You are eligible for an exclusive cash bonus!,1
Don't forget to bring the timetable tomorrow.,0
URGENT! You have been selected for a cash shopping voucher. Click now!,1
Win a brand new cash prize by entering our contest!,1
Please remind me about the photos.,0
Can you share the assignment with me?,0
Let's meet after dinner.,0
I reached the station safely.,0
Earn extra money from home. Register now!,1
URGENT! You have been selected for a cash gift. Click now!,1
Don't forget to bring the document tomorrow.,0
I am waiting near the the office.,0
What time are we leaving?,0
I'll be a little late today.,0
I'll be a little late today.,0
Hurry! Your free gift is waiting for you.,1
I'll be a little late today.,0
Please send me the address when you get a chance.,0
Claim your exclusive coupon before midnight!,1
Limited offer! Get your free reward now!,1
Congratulations! You are today's lucky winner.,1
Please send me the address when you get a chance.,0
You are eligible for an exclusive cash shopping voucher!,1
You have won a special shopping voucher. Claim your reward!,1
Please let me know when you arrive.,0
URGENT! You have been selected for a cash gift. Click now!,1
The class is scheduled for noon.,0
Let's meet after the presentation.,0
Get a huge cash reward by registering now!,1
Are we still meeting at 5 pm?,0
URGENT! You have been selected for a cash phone. Click now!,1
Please remind me about the timetable.,0
URGENT! You have been selected for a cash coupon. Click now!,1
Win a brand new coupon by entering our contest!,1
I'll meet you at 3 pm near the the station.,0
I reached the office safely.,0
Please send me the notes when you get a chance.,0
Earn extra money from home. Register now!,1
URGENT! You have been selected for a cash vacation. Click now!,1
URGENT! You have been selected for a cash shopping voucher. Click now!,1
Congratulations! You are today's lucky winner.,1
Please call me when you are free.,0
I reached the station safely.,0
Claim your exclusive phone before midnight!,1
I'll see you tomorrow at tomorrow morning.,0
Please remind me about the book.,0
Please let me know when you arrive.,0
Win a brand new coupon by entering our contest!,1
I am waiting near the the main gate.,0
Limited offer! Get your free vacation now!,1
Win a brand new shopping voucher by entering our contest!,1
Special offer! Receive a free reward today!,1
You have won a special vacation. Claim your reward!,1
Act now to receive your special vacation!,1
Act now to receive your special coupon!,1
I reached school safely.,0
Act now to receive your special phone!,1
Get 95% discount today. Limited time offer!,1
The dinner is scheduled for 8 pm.,0
I'll meet you at 3 pm near the the station.,0
Can you call me when you reach the library?,0
Earn extra money from home. Register now!,1
I'll meet you at tomorrow morning near the the main gate.,0
I'll be home by 7 pm.,0
You are the lucky winner of a free shopping voucher!,1
What time are we leaving?,0
I am waiting near the the station.,0
I'll send you the document tonight.,0
Are we still meeting at 7 pm?,0
Please send me the report when you get a chance.,0
Let's meet after class.,0
You have been chosen to receive a free coupon.,1
Congratulations! You are today's lucky winner.,1
Special promotion! Get 70% off today.,1
Hurry! Your free cash prize is waiting for you.,1
You have won a special gift. Claim your reward!,1
Congratulations! You have won a free vacation. Claim it now!,1
Don't forget to bring the timetable tomorrow.,0
The meeting is scheduled for 5 pm.,0
Act now to receive your special phone!,1
I'll meet you at 3 pm near the the main gate.,0
I am waiting near the school.,0
Special promotion! Get 95% off today.,1
Please let me know when you arrive.,0
Hurry! Your free vacation is waiting for you.,1
Special offer! Receive a free gift today!,1
Can you bring my book when you come?,0
The class is scheduled for 8 pm.,0
You are eligible for an exclusive cash vacation!,1
Please call me when you are free.,0
Can you share the address with me?,0
Please let me know when you arrive.,0
I'll be a little late today.,0
You are the lucky winner of a free shopping voucher!,1
I am waiting near the school.,0
Claim your bonus before this offer ends!,1
I'll send you the notes tonight.,0
The class is scheduled for 8 pm.,0
Can you help me with the photos?,0
I'll meet you at tomorrow morning near the the office.,0
Please call me when you are free.,0
Act now to receive your special bonus!,1
You are the lucky winner of a free cash prize!,1
You have won a special reward. Claim your reward!,1
Can you help me with the address?,0
Don't forget to bring the timetable tomorrow.,0
Limited offer! Get your free bonus now!,1
The lunch is scheduled for noon.,0
The lunch is scheduled for 3 pm.,0
Please send me the timetable when you get a chance.,0
Congratulations! You have won a free reward. Claim it now!,1
Can you call me when you reach the library?,0
Special offer! Receive a free bonus today!,1
Get a huge cash reward by registering now!,1
Please let me know when you arrive.,0
You have been chosen to receive a free coupon.,1
I'll send you the notes tonight.,0
Claim your phone before this offer ends!,1
You have won a special bonus. Claim your reward!,1
Limited offer! Get your free phone now!,1
What time are we leaving?,0
URGENT! You have been selected for a cash vacation. Click now!,1
Congratulations! You are today's lucky winner.,1
I reached the main gate safely.,0
Claim your exclusive coupon before midnight!,1
Claim your exclusive bonus before midnight!,1
Congratulations! You are today's lucky winner.,1
Don't forget to bring the notes tomorrow.,0
You have won a special reward. Claim your reward!,1
Please call me when you are free.,0
What time are we leaving?,0
I'll be a little late today.,0
Free entry! You could win a valuable vacation today.,1
Act now to receive your special gift!,1
You have won a special vacation. Claim your reward!,1
Let's meet after the presentation.,0
Win a brand new gift by entering our contest!,1
Act now to receive your special phone!,1
Please call me when you are free.,0
Limited offer! Get your free cash prize now!,1
Please send me the photos when you get a chance.,0
Are we still meeting at 5 pm?,0
Claim your exclusive coupon before midnight!,1
Claim your vacation before this offer ends!,1
Claim your exclusive shopping voucher before midnight!,1
Win a brand new gift by entering our contest!,1
Claim your coupon before this offer ends!,1
You are eligible for an exclusive cash vacation!,1
Claim your coupon before this offer ends!,1
Claim your shopping voucher before this offer ends!,1
Special promotion! Get 70% off today.,1
Claim your exclusive cash prize before midnight!,1
Your exclusive bonus is ready. Claim it now!,1
You have been chosen to receive a free vacation.,1
I'll send you the notes tonight.,0
Get a huge cash reward by registering now!,1
Win a brand new cash prize by entering our contest!,1
Please send me the photos when you get a chance.,0
Win a brand new phone by entering our contest!,1
Congratulations! You are today's lucky winner.,1
You have won a special vacation. Claim your reward!,1
Get a huge cash reward by registering now!,1
I'll meet you at noon near the the office.,0
I'll be home by 7 pm.,0
What time are we leaving?,0
URGENT! You have been selected for a cash vacation. Click now!,1
Let's meet after the presentation.,0
Are we still meeting at noon?,0
Please remind me about the report.,0
URGENT! You have been selected for a cash bonus. Click now!,1
Please call me when you are free.,0
Earn extra money from home. Register now!,1
Hurry! Your free reward is waiting for you.,1
Claim your shopping voucher before this offer ends!,1
Your exclusive bonus is ready. Claim it now!,1
Hurry! Your free bonus is waiting for you.,1
You have won a special vacation. Claim your reward!,1
Earn extra money from home. Register now!,1
I reached the office safely.,0
I am waiting near the the office.,0
Free entry! You could win a valuable gift today.,1
Special offer! Receive a free gift today!,1
I am waiting near the the office.,0
Can you help me with the address?,0
You are the lucky winner of a free vacation!,1
Let's meet after the presentation.,0
Your exclusive bonus is ready. Claim it now!,1
Are we still meeting at 8 pm?,0
You are eligible for an exclusive cash shopping voucher!,1
Congratulations! You have won a free coupon. Claim it now!,1
Act now to receive your special phone!,1
I'll be home by 8 pm.,0
Can you help me with the report?,0
Claim your cash prize before this offer ends!,1
You have won a special gift. Claim your reward!,1
I am waiting near the the office.,0
Please send me the report when you get a chance.,0
Get a huge cash reward by registering now!,1
Please call me when you are free.,0
You are eligible for an exclusive cash cash prize!,1
Act now to receive your special cash prize!,1
I'll be a little late today.,0
Special offer! Receive a free coupon today!,1
Free entry! You could win a valuable coupon today.,1
What time are we leaving?,0
Don't forget to bring the address tomorrow.,0
Congratulations! You have won a free gift. Claim it now!,1
Claim your gift before this offer ends!,1
Are we still meeting at noon?,0
Can you call me when you reach home?,0
Special offer! Receive a free vacation today!,1
Special offer! Receive a free reward today!,1
Special promotion! Get 90% off today.,1
Limited offer! Get your free shopping voucher now!,1
Can you bring my document when you come?,0
Claim your reward before this offer ends!,1
Can you bring my photos when you come?,0
You are the lucky winner of a free bonus!,1
Congratulations! You have won a free reward. Claim it now!,1
I'll send you the notes tonight.,0
Claim your exclusive shopping voucher before midnight!,1
Limited offer! Get your free gift now!,1
Can you call me when you reach the library?,0
I am waiting near the home.,0
Claim your exclusive gift before midnight!,1
I am waiting near the the station.,0
I'll send you the report tonight.,0
You are the lucky winner of a free reward!,1
Congratulations! You are today's lucky winner.,1
Can you call me when you reach the main gate?,0
Special offer! Receive a free cash prize today!,1
Hurry! Your free phone is waiting for you.,1
Can you share the notes with me?,0
Win a brand new coupon by entering our contest!,1
Let's meet after lunch.,0
The the presentation is scheduled for 7 pm.,0
Hurry! Your free gift is waiting for you.,1
Get a huge cash reward by registering now!,1
I'll send you the timetable tonight.,0
Special promotion! Get 50% off today.,1
Don't forget to bring the photos tomorrow.,0
Limited offer! Get your free shopping voucher now!,1
Can you call me when you reach the main gate?,0
Your exclusive bonus is ready. Claim it now!,1
I am waiting near the the office.,0
Get a huge cash reward by registering now!,1
You have been chosen to receive a free cash prize.,1
Get 70% discount today. Limited time offer!,1
Congratulations! You are today's lucky winner.,1
Limited offer! Get your free gift now!,1
Act now to receive your special vacation!,1
Claim your shopping voucher before this offer ends!,1
Get a huge cash reward by registering now!,1
Please let me know when you arrive.,0
Please remind me about the notes.,0
Your exclusive bonus is ready. Claim it now!,1
Get a huge cash reward by registering now!,1
Can you bring my timetable when you come?,0
Get a huge cash reward by registering now!,1
Claim your gift before this offer ends!,1
Special promotion! Get 70% off today.,1
Claim your exclusive cash prize before midnight!,1
Special offer! Receive a free phone today!,1
Please send me the document when you get a chance.,0
Claim your exclusive gift before midnight!,1
Free entry! You could win a valuable gift today.,1
Congratulations! You have won a free bonus. Claim it now!,1
Special offer! Receive a free bonus today!,1
Earn extra money from home. Register now!,1
Earn extra money from home. Register now!,1
Please send me the photos when you get a chance.,0
I'll see you tomorrow at tomorrow morning.,0
Congratulations! You are today's lucky winner.,1
What time are we leaving?,0
Can you share the address with me?,0
I am waiting near the the station.,0
I am waiting near the the station.,0
Can you bring my report when you come?,0
Your exclusive bonus is ready. Claim it now!,1
Special offer! Receive a free gift today!,1
Hurry! Your free reward is waiting for you.,1
Please let me know when you arrive.,0
You have won a special phone. Claim your reward!,1
Can you call me when you reach the main gate?,0
Earn extra money from home. Register now!,1
URGENT! You have been selected for a cash phone. Click now!,1
Are we still meeting at 7 pm?,0
You have been chosen to receive a free shopping voucher.,1
I'll see you tomorrow at noon.,0
You are eligible for an exclusive cash gift!,1
You are the lucky winner of a free gift!,1
You have been chosen to receive a free bonus.,1
Let's meet after meeting.,0
Claim your exclusive gift before midnight!,1
URGENT! You have been selected for a cash cash prize. Click now!,1
Please remind me about the book.,0
Can you bring my report when you come?,0
I'll meet you at noon near the school.,0
Free entry! You could win a valuable reward today.,1
I am waiting near the school.,0
I'll meet you at 7 pm near the the main gate.,0
Please let me know when you arrive.,0
You are the lucky winner of a free vacation!,1
I reached school safely.,0
Please send me the timetable when you get a chance.,0
Get a huge cash reward by registering now!,1
Are we still meeting at 5 pm?,0
I'll send you the book tonight.,0
Earn extra money from home. Register now!,1
The class is scheduled for 5 pm.,0
Can you help me with the timetable?,0
Congratulations! You are today's lucky winner.,1
Can you share the book with me?,0
You have been chosen to receive a free coupon.,1
I am waiting near the the station.,0
I'll meet you at noon near the the main gate.,0
Free entry! You could win a valuable vacation today.,1
I'll meet you at 5 pm near the home.,0
Claim your exclusive gift before midnight!,1
Can you share the document with me?,0
Your exclusive bonus is ready. Claim it now!,1
Please send me the document when you get a chance.,0
Please remind me about the address.,0
You are eligible for an exclusive cash gift!,1
Claim your exclusive bonus before midnight!,1
Can you share the timetable with me?,0
Special promotion! Get 70% off today.,1
Get 95% discount today. Limited time offer!,1
Please call me when you are free.,0
Claim your gift before this offer ends!,1
Free entry! You could win a valuable reward today.,1
Please let me know when you arrive.,0
You are eligible for an exclusive cash bonus!,1
Free entry! You could win a valuable cash prize today.,1
What time are we leaving?,0
Claim your exclusive coupon before midnight!,1
URGENT! You have been selected for a cash reward. Click now!,1
Can you help me with the address?,0
I'll see you tomorrow at noon.,0
I'll see you tomorrow at 8 pm.,0
I'll send you the photos tonight.,0
I'll be home by 7 pm.,0
I'll meet you at 7 pm near the the station.,0
I'll be home by 8 pm.,0
What time are we leaving?,0
You have been chosen to receive a free shopping voucher.,1
I'll be a little late today.,0
You have won a special cash prize. Claim your reward!,1
Hurry! Your free shopping voucher is waiting for you.,1
Congratulations! You are today's lucky winner.,1
What time are we leaving?,0
Congratulations! You are today's lucky winner.,1
I reached home safely.,0
Can you bring my notes when you come?,0
You have won a special cash prize. Claim your reward!,1
Claim your exclusive reward before midnight!,1
Hurry! Your free coupon is waiting for you.,1
I'll see you tomorrow at 3 pm.,0
Please call me when you are free.,0
Free entry! You could win a valuable gift today.,1
Please remind me about the timetable.,0
I'll meet you at 5 pm near the the office.,0
Don't forget to bring the document tomorrow.,0
Please remind me about the photos.,0
Don't forget to bring the timetable tomorrow.,0
Act now to receive your special reward!,1
What time are we leaving?,0
You are eligible for an exclusive cash vacation!,1
Act now to receive your special coupon!,1
Please remind me about the document.,0
Please send me the report when you get a chance.,0
Can you share the report with me?,0
Get 80% discount today. Limited time offer!,1
Claim your reward before this offer ends!,1
I'll be home by 5 pm.,0
Please remind me about the timetable.,0
You are the lucky winner of a free reward!,1
Please call me when you are free.,0
Congratulations! You are today's lucky winner.,1
